date,exp,imp,imae,crude_oil_brent,gas_henry_hub,treasury3month,yuan_dollar_spot_tc,usdollar_euro,ue_m,ue_x,usa_x,usa_m,chn_x,chn_m,year,month
2005-02-01,435.23564471,593.6004214799999,61.51070033,45.475,6.137894736842106,2.5389473684210526,8.2765,1.3013052631578947,122002653709.838,124449988735.807,104010.0,162104.0,58039748317.158905,50553318551.5008,2005,2
2005-03-01,464.79135652000014,606.5458283300002,62.78632536,53.10454545454545,6.96,2.738636363636364,8.2765,1.3185,126536374127.591,128337475619.717,105097.0,158231.0,61068927157.2757,51467854301.993904,2005,3
2005-04-01,519.37488777,641.9325181299998,61.41124995,51.88380952380952,7.158571428571428,2.780952380952381,8.2765,1.2943095238095237,129739930700.06302,129156635903.724,107268.0,164580.0,60739647983.6832,53121036930.3059,2005,4
2005-05-01,484.98336258999984,678.9942343299999,62.24147646,48.64545454545455,6.472380952380952,2.841428571428572,8.2765,1.2696857142857143,125465287791.306,128836447135.928,107080.0,163119.0,61352237100.89349,52334360593.9741,2005,5
2005-06-01,481.3893056500001,646.67341373,63.97503402,54.35454545454545,7.1827272727272735,2.972727272727273,8.2765,1.2155272727272726,121128125647.841,122257502183.805,107033.0,165185.0,64749472466.612206,54384390674.8149,2005,6
2005-07-01,437.6773636600001,656.5422799500002,62.97979891,57.52,7.6285,3.2155,8.226405,1.204055,124674661885.161,125168434852.152,107082.0,165382.0,63230143215.9077,54423870806.985695,2005,7
2005-08-01,427.9434049299998,714.2635643599997,63.07926311,63.98347826086956,9.532608695652174,3.4408695652173917,8.101678260869564,1.2295173913043478,131439135056.04,129645414648.949,108475.0,167220.0,65258166422.408806,55519032110.1356,2005,8
2005-09-01,423.8422344700002,650.2169778300004,63.41701915,62.908181818181816,11.745333333333331,3.4195238095238096,8.0919,1.223390476190476,131842115974.997,130538322089.622,107156.0,172039.0,65143257070.58499,55794861841.275,2005,9
2005-10-01,441.9791565599999,683.7875417799996,66.58771981,58.53857142857142,13.42235294117647,3.706,8.089535000000001,1.20224,130426378616.176,128160354297.971,109813.0,177078.0,67150585722.4892,62251886664.7638,2005,10
2005-11-01,465.0137324699999,762.3533919800002,69.45318035,55.24181818181818,10.304,3.8835,8.083985,1.178875,131732704304.449,126802901508.193,111462.0,175321.0,66949984287.246704,59362827407.2217,2005,11
2005-12-01,405.62942336000015,751.8469374699998,68.99817871,56.855714285714285,13.049047619047618,3.886190476190476,8.075533333333333,1.186095238095238,135047874380.632,128280655875.18,113822.0,178390.0,68232752524.801895,61040817966.5302,2005,12
2006-01-01,435.33210237,726.41892475,66.47722333,62.985238095238095,8.686,4.236,8.065365,1.21255,136620477742.943,133575631885.672,115831.0,182797.0,71355996998.1578,60273660141.7156,2006,1
2006-02-01,491.03646927000005,650.2997692,64.88415321,60.21,7.536315789473684,4.433157894736842,8.051242105263158,1.1939736842105262,137954073386.667,132166905213.695,116871.0,179179.0,71674435258.52249,64679555153.0316,2006,2
2006-03-01,614.7131032899999,780.89326327,69.537836,62.06478260869565,6.888260869565218,4.512173913043478,8.035026086956522,1.2028434782608697,138638793787.61002,133147010906.03,118820.0,181217.0,78910514797.7866,62802160130.1631,2006,3
2006-04-01,450.20108416,631.7280111300001,62.50167202,70.26,7.163684210526316,4.603684210526316,8.01434,1.227325,145194508165.20898,140238572498.78,119611.0,182214.0,76205971557.4908,63293959146.04401,2006,4
2006-05-01,612.3354892300001,817.2247477199999,68.45011898,69.77695652173912,6.244999999999999,4.715454545454545,8.013095454545454,1.2767454545454546,150630271127.711,143609119154.776,121155.0,185973.0,76877298435.5444,62090698818.3785,2006,5
2006-06-01,535.3469927800002,742.6812320999998,67.63163925,68.5559090909091,6.21,4.791363636363636,8.004186363636363,1.266059090909091,149198606040.729,142682889851.847,122726.0,186525.0,79890252664.15941,64919662117.3354,2006,6
2006-07-01,476.00541080999983,770.2029031700004,66.95204862,73.67428571428572,6.16842105263158,4.9465,7.989695,1.268065,150337232571.149,143341833563.663,120430.0,187339.0,77216758506.97101,65029582374.033,2006,7
2006-08-01,500.12767346999954,824.2753794399996,67.62650596,73.2304347826087,7.135217391304349,4.960434782608695,7.972178260869565,1.2810478260869569,153342154778.516,146961556191.182,122780.0,191057.0,86132197261.3615,68243131424.829,2006,8
2006-09-01,495.2844564800007,790.5005614199999,68.48669218,61.95857142857143,4.896,4.8055,7.93341,1.2722099999999998,152924354467.036,152361546941.951,124051.0,189146.0,85291092203.4126,70335557491.6501,2006,9
